ProbeSet,LocusLink,Symbol,GeneID
11720701_x_at,LOC257044,C1ORF101,C1ORF101_11720701_x_at
11720702_a_at,LOC54956,PARP16,PARP16_11720702_a_at
11720703_at,LOC4635,MYL4,MYL4_11720703_at
11720704_s_at,LOC7164,TPD52L1,TPD52L1_11720704_s_at
11720705_a_at,LOC55850,USE1,USE1_11720705_a_at
11720706_at,LOC28952,CCDC22,CCDC22_11720706_at
11720707_at,LOC56647,BCCIP,BCCIP_11720707_at
11720708_a_at,LOC5468,PPARG,PPARG_11720708_a_at
11720709_x_at,LOC23095,KIF1B,KIF1B_11720709_x_at
11720710_a_at,LOC23095,KIF1B,KIF1B_11720710_a_at
11720711_a_at,LOC84461,NEURL4,NEURL4_11720711_a_at
11720712_a_at,LOC10008,KCNE3,KCNE3_11720712_a_at
11720713_a_at,LOC10008,KCNE3,KCNE3_11720713_a_at
11720714_at,LOC123606,NIPA1,NIPA1_11720714_at
11720715_at,LOC123606,NIPA1,NIPA1_11720715_at
11720716_a_at,LOC2258,FGF13,FGF13_11720716_a_at
11720717_a_at,LOC2258,FGF13,FGF13_11720717_a_at
11720718_a_at,,GNB1L || C22ORF29,GNB1L || C22ORF29_11720718_a_at
11720719_x_at,,GNB1L || C22ORF29,GNB1L || C22ORF29_11720719_x_at
11720720_a_at,,GNB1L || C22ORF29,GNB1L || C22ORF29_11720720_a_at
11720721_s_at,LOC22800,RRAS2,RRAS2_11720721_s_at
11720722_x_at,LOC57455,REXO1,REXO1_11720722_x_at
11720723_at,LOC79797,ZNF408,ZNF408_11720723_at
11720724_at,LOC79699,ZYG11B,ZYG11B_11720724_at
11720725_at,LOC79699,ZYG11B,ZYG11B_11720725_at
11720726_at,LOC197131,UBR1,UBR1_11720726_at
11720727_at,LOC197131,UBR1,UBR1_11720727_at
11720728_at,LOC197131,UBR1,UBR1_11720728_at
11720729_at,LOC27254,CSDC2,CSDC2_11720729_at
11720730_at,LOC27254,CSDC2,CSDC2_11720730_at
11720731_a_at,LOC285362,SUMF1,SUMF1_11720731_a_at
11720732_a_at,LOC285362,SUMF1,SUMF1_11720732_a_at
11720733_a_at,LOC3636,INPPL1,INPPL1_11720733_a_at
11720734_s_at,LOC3636,INPPL1,INPPL1_11720734_s_at
11720735_s_at,LOC9684,LRRC14,LRRC14_11720735_s_at
11720736_a_at,LOC9684,LRRC14,LRRC14_11720736_a_at
11720737_a_at,LOC84527,ZNF559,ZNF559_11720737_a_at
11720738_at,LOC3707,ITPKB,ITPKB_11720738_at
11720739_s_at,LOC3707,ITPKB,ITPKB_11720739_s_at
11720740_a_at,LOC23263,MCF2L,MCF2L_11720740_a_at
11720741_a_at,LOC100289635,ZNF605,ZNF605_11720741_a_at
11720742_a_at,LOC100289635,ZNF605,ZNF605_11720742_a_at
11720743_x_at,LOC54677,CROT,CROT_11720743_x_at
11720744_a_at,LOC54677,CROT,CROT_11720744_a_at
11720745_a_at,LOC604,BCL6,BCL6_11720745_a_at
11720746_s_at,LOC604,BCL6,BCL6_11720746_s_at
11720747_a_at,LOC113,ADCY7,ADCY7_11720747_a_at
11720748_a_at,LOC8425,LTBP4,LTBP4_11720748_a_at
11720749_a_at,LOC11185,INMT,INMT_11720749_a_at
11720750_a_at,LOC11185,INMT,INMT_11720750_a_at
11720751_a_at,LOC3628,INPP1,INPP1_11720751_a_at
11720752_at,LOC4967,OGDH,OGDH_11720752_at
11720753_s_at,LOC6383,SDC2,SDC2_11720753_s_at
11720754_x_at,LOC60,ACTB,ACTB_11720754_x_at
11720755_at,LOC6774,STAT3,STAT3_11720755_at
11720756_at,LOC6774,STAT3,STAT3_11720756_at
11720757_a_at,LOC10625,IVNS1ABP,IVNS1ABP_11720757_a_at
11720758_s_at,LOC10625,IVNS1ABP,IVNS1ABP_11720758_s_at
11720759_s_at,LOC10625,IVNS1ABP,IVNS1ABP_11720759_s_at
11720760_x_at,LOC10625,IVNS1ABP,IVNS1ABP_11720760_x_at
11720761_a_at,LOC26273,FBXO3,FBXO3_11720761_a_at
11720762_a_at,LOC26273,FBXO3,FBXO3_11720762_a_at
11720763_a_at,LOC6404,SELPLG,SELPLG_11720763_a_at
11720764_a_at,LOC1861,TOR1A,TOR1A_11720764_a_at
11720765_s_at,LOC1861,TOR1A,TOR1A_11720765_s_at
11720766_a_at,LOC51108,METTL9,METTL9_11720766_a_at
11720767_s_at,LOC51108,METTL9,METTL9_11720767_s_at
11720768_at,LOC51108,METTL9,METTL9_11720768_at
11720769_a_at,LOC10105,PPIF,PPIF_11720769_a_at
11720770_a_at,LOC10105,PPIF,PPIF_11720770_a_at
11720771_x_at,LOC10105,PPIF,PPIF_11720771_x_at
11720772_s_at,LOC10105,PPIF,PPIF_11720772_s_at
11720773_x_at,LOC131118,DNAJC19,DNAJC19_11720773_x_at
11720774_s_at,LOC131118,DNAJC19,DNAJC19_11720774_s_at
11720775_s_at,LOC9025,RNF8,RNF8_11720775_s_at
11720776_a_at,LOC9025,RNF8,RNF8_11720776_a_at
11720777_x_at,LOC27343,POLL,POLL_11720777_x_at
11720778_a_at,LOC84861,KLHL22,KLHL22_11720778_a_at
11720779_a_at,LOC84861,KLHL22,KLHL22_11720779_a_at
11720780_a_at,LOC57535,KIAA1324,KIAA1324_11720780_a_at
11720781_a_at,LOC1017,CDK2,CDK2_11720781_a_at
11720782_a_at,LOC1017,CDK2,CDK2_11720782_a_at
11720783_a_at,LOC8721,EDF1,EDF1_11720783_a_at
11720784_a_at,LOC86,ACTL6A,ACTL6A_11720784_a_at
11720785_a_at,LOC11129,CLASRP,CLASRP_11720785_a_at
11720786_a_at,LOC51143,DYNC1LI1,DYNC1LI1_11720786_a_at
11720787_a_at,LOC51143,DYNC1LI1,DYNC1LI1_11720787_a_at
11720788_at,LOC25842,ASF1A,ASF1A_11720788_at
11720789_at,LOC25842,ASF1A,ASF1A_11720789_at
11720790_s_at,LOC25842,ASF1A,ASF1A_11720790_s_at
11720791_a_at,LOC389,RHOC,RHOC_11720791_a_at
11720792_a_at,LOC65985,AACS,AACS_11720792_a_at
11720793_x_at,LOC65985,AACS,AACS_11720793_x_at
11720794_a_at,LOC8406,SRPX,SRPX_11720794_a_at
11720795_s_at,LOC9818,NUPL1,NUPL1_11720795_s_at
11720796_x_at,LOC9818,NUPL1,NUPL1_11720796_x_at
11720797_a_at,LOC26520,TIMM9,TIMM9_11720797_a_at
11720798_at,LOC51762,RAB8B,RAB8B_11720798_at
11720799_s_at,LOC51762,RAB8B,RAB8B_11720799_s_at
11720800_a_at,LOC51762,RAB8B,RAB8B_11720800_a_at
11720801_a_at,LOC55909,BIN3,BIN3_11720801_a_at
11720802_s_at,LOC55909,BIN3,BIN3_11720802_s_at
11720803_at,LOC57402,S100A14,S100A14_11720803_at
11720804_a_at,LOC79447,PAGR1,PAGR1_11720804_a_at
11720805_x_at,LOC79447,PAGR1,PAGR1_11720805_x_at
11720806_a_at,LOC51147,ING4,ING4_11720806_a_at
11720807_x_at,LOC9086,EIF1AY,EIF1AY_11720807_x_at
11720808_a_at,LOC10244,RABEPK,RABEPK_11720808_a_at
11720809_x_at,LOC80097,MZT2B,MZT2B_11720809_x_at
11720810_a_at,LOC653784,MZT2A,MZT2A_11720810_a_at
11720811_a_at,LOC25891,PAMR1,PAMR1_11720811_a_at
11720812_a_at,LOC79095,C9ORF16,C9ORF16_11720812_a_at
11720813_at,LOC55174,INTS10,INTS10_11720813_at
11720814_s_at,LOC55174,INTS10,INTS10_11720814_s_at
11720815_a_at,LOC79870,BAALC,BAALC_11720815_a_at
11720816_a_at,LOC79870,BAALC,BAALC_11720816_a_at
11720817_a_at,LOC79870,BAALC,BAALC_11720817_a_at
11720818_a_at,LOC6387,CXCL12,CXCL12_11720818_a_at
11720819_s_at,LOC6387,CXCL12,CXCL12_11720819_s_at
11720820_at,LOC65991,FUNDC2,FUNDC2_11720820_at
11720821_x_at,LOC65991,FUNDC2,FUNDC2_11720821_x_at
11720822_a_at,LOC435,ASL,ASL_11720822_a_at
11720823_at,LOC182,JAG1,JAG1_11720823_at
11720824_a_at,LOC182,JAG1,JAG1_11720824_a_at
11720825_s_at,LOC182,JAG1,JAG1_11720825_s_at
11720826_s_at,LOC182,JAG1,JAG1_11720826_s_at
11720827_a_at,LOC387103,CENPW,CENPW_11720827_a_at
11720828_a_at,LOC64766,S100PBP,S100PBP_11720828_a_at
11720829_at,LOC64766,S100PBP,S100PBP_11720829_at
11720830_at,LOC81563,C1ORF21,C1ORF21_11720830_at
11720831_s_at,LOC81563,C1ORF21,C1ORF21_11720831_s_at
11720832_x_at,LOC54345,SOX18,SOX18_11720832_x_at
11720833_at,LOC8089,YEATS4,YEATS4_11720833_at
11720834_a_at,LOC51074,APIP,APIP_11720834_a_at
11720835_a_at,LOC995,CDC25C,CDC25C_11720835_a_at
11720836_a_at,LOC54453,RIN2,RIN2_11720836_a_at
11720837_a_at,LOC7290,HIRA,HIRA_11720837_a_at
11720838_a_at,LOC5884,RAD17,RAD17_11720838_a_at
11720839_a_at,LOC10285,SMNDC1,SMNDC1_11720839_a_at
11720840_a_at,LOC10285,SMNDC1,SMNDC1_11720840_a_at
11720841_s_at,LOC10285,SMNDC1,SMNDC1_11720841_s_at
11720842_at,LOC29984,RHOD,RHOD_11720842_at
11720843_at,LOC9683,N4BP1,N4BP1_11720843_at
11720844_at,LOC9683,N4BP1,N4BP1_11720844_at
11720845_a_at,LOC57124,CD248,CD248_11720845_a_at
11720846_at,LOC57124,CD248,CD248_11720846_at
11720847_s_at,LOC84295,PHF6,PHF6_11720847_s_at
11720848_a_at,LOC84295,PHF6,PHF6_11720848_a_at
11720849_a_at,LOC51715,RAB23,RAB23_11720849_a_at
11720850_a_at,LOC51715,RAB23,RAB23_11720850_a_at
11720851_s_at,LOC4774,NFIA,NFIA_11720851_s_at
11720852_s_at,LOC4774,NFIA,NFIA_11720852_s_at
11720853_a_at,LOC4774,NFIA,NFIA_11720853_a_at
11720854_a_at,LOC4774,NFIA,NFIA_11720854_a_at
11720855_a_at,LOC4774,NFIA,NFIA_11720855_a_at
11720856_a_at,LOC3643,INSR,INSR_11720856_a_at
11720857_a_at,LOC3643,INSR,INSR_11720857_a_at
11720858_a_at,LOC3643,INSR,INSR_11720858_a_at
11720859_s_at,LOC171586,ABHD3,ABHD3_11720859_s_at
11720860_s_at,LOC50650,ARHGEF3,ARHGEF3_11720860_s_at
11720861_a_at,LOC50650,ARHGEF3,ARHGEF3_11720861_a_at
11720862_at,LOC8228,PNPLA4,PNPLA4_11720862_at
11720863_at,LOC8228,PNPLA4,PNPLA4_11720863_at
11720864_s_at,LOC29957,SLC25A24,SLC25A24_11720864_s_at
11720865_a_at,LOC11020,IFT27,IFT27_11720865_a_at
11720866_a_at,LOC26523,AGO1,AGO1_11720866_a_at
11720867_x_at,LOC51316,PLAC8,PLAC8_11720867_x_at
11720868_at,LOC10838,ZNF275,ZNF275_11720868_at
11720869_a_at,LOC23293,SMG6,SMG6_11720869_a_at
11720870_a_at,LOC5150,PDE7A,PDE7A_11720870_a_at
11720871_s_at,LOC5150,PDE7A,PDE7A_11720871_s_at
11720872_at,LOC56623,INPP5E,INPP5E_11720872_at
11720873_a_at,LOC50488,MINK1,MINK1_11720873_a_at
11720874_at,LOC10391,CORO2B,CORO2B_11720874_at
11720875_at,LOC10391,CORO2B,CORO2B_11720875_at
11720876_s_at,LOC10391,CORO2B,CORO2B_11720876_s_at
11720877_at,LOC25841,ABTB2,ABTB2_11720877_at
11720878_at,LOC25841,ABTB2,ABTB2_11720878_at
11720879_a_at,LOC23523,CABIN1,CABIN1_11720879_a_at
11720880_s_at,LOC30844,EHD4,EHD4_11720880_s_at
11720881_a_at,LOC30844,EHD4,EHD4_11720881_a_at
11720882_at,LOC51027,BOLA1,BOLA1_11720882_at
11720883_a_at,LOC124402,UBALD1,UBALD1_11720883_a_at
11720884_a_at,LOC3145,HMBS,HMBS_11720884_a_at
11720885_at,LOC32,ACACB,ACACB_11720885_at
11720886_at,LOC23361,ZNF629,ZNF629_11720886_at
11720887_at,LOC55558,PLXNA3,PLXNA3_11720887_at
11720888_s_at,LOC178,AGL,AGL_11720888_s_at
11720889_a_at,LOC178,AGL,AGL_11720889_a_at
11720890_a_at,LOC178,AGL,AGL_11720890_a_at
11720891_a_at,LOC10868,USP20,USP20_11720891_a_at
11720892_at,LOC6654,SOS1,SOS1_11720892_at
11720893_s_at,LOC6654,SOS1,SOS1_11720893_s_at
11720894_a_at,LOC6654,SOS1,SOS1_11720894_a_at
11720895_at,LOC6654,SOS1,SOS1_11720895_at
11720896_at,LOC54910,SEMA4C,SEMA4C_11720896_at
11720897_at,LOC54910,SEMA4C,SEMA4C_11720897_at
11720898_a_at,LOC4534,MTM1,MTM1_11720898_a_at
11720899_a_at,LOC54762,GRAMD1C,GRAMD1C_11720899_a_at
11720900_x_at,LOC54762,GRAMD1C,GRAMD1C_11720900_x_at
11720901_a_at,LOC54762,GRAMD1C,GRAMD1C_11720901_a_at
11720902_a_at,LOC784,CACNB3,CACNB3_11720902_a_at
11720903_a_at,LOC784,CACNB3,CACNB3_11720903_a_at
11720904_s_at,LOC79832,QSER1,QSER1_11720904_s_at
11720905_at,LOC79832,QSER1,QSER1_11720905_at
11720906_a_at,LOC79832,QSER1,QSER1_11720906_a_at
11720907_x_at,LOC6405,SEMA3F,SEMA3F_11720907_x_at
11720908_a_at,LOC55604,LRRC16A,LRRC16A_11720908_a_at
11720909_a_at,LOC93109,TMEM44,TMEM44_11720909_a_at
11720910_a_at,LOC4753,NELL2,NELL2_11720910_a_at
11720911_a_at,LOC827,CAPN6,CAPN6_11720911_a_at
11720912_a_at,LOC827,CAPN6,CAPN6_11720912_a_at
11720913_a_at,LOC53,ACP2,ACP2_11720913_a_at
11720914_x_at,LOC53,ACP2,ACP2_11720914_x_at
11720915_x_at,,PGAM1 || LOC643576,PGAM1 || LOC643576_11720915_x_at
11720916_s_at,LOC3312,HSPA8,HSPA8_11720916_s_at
11720917_a_at,LOC92747,BPIFB1,BPIFB1_11720917_a_at
11720918_a_at,LOC10209,EIF1,EIF1_11720918_a_at
11720919_s_at,LOC10209,EIF1,EIF1_11720919_s_at
11720920_x_at,LOC10209,EIF1,EIF1_11720920_x_at
11720921_s_at,LOC30,ACAA1,ACAA1_11720921_s_at
11720922_a_at,LOC10866,HCP5,HCP5_11720922_a_at
11720923_a_at,LOC10866,HCP5,HCP5_11720923_a_at
11720924_at,LOC8557,TCAP,TCAP_11720924_at
11720925_x_at,LOC8557,TCAP,TCAP_11720925_x_at
11720926_a_at,LOC5436,POLR2G,POLR2G_11720926_a_at
11720927_a_at,LOC6723,SRM,SRM_11720927_a_at
11720928_at,LOC6723,SRM,SRM_11720928_at
11720929_a_at,LOC1743,DLST,DLST_11720929_a_at
11720930_s_at,LOC1743,DLST,DLST_11720930_s_at
11720931_x_at,LOC1743,DLST,DLST_11720931_x_at
11720932_s_at,LOC1743,DLST,DLST_11720932_s_at
11720933_s_at,LOC221955,DAGLB,DAGLB_11720933_s_at
11720934_a_at,LOC221955,DAGLB,DAGLB_11720934_a_at
11720935_a_at,LOC6628,SNRPB,SNRPB_11720935_a_at
11720936_a_at,LOC11094,CACFD1,CACFD1_11720936_a_at
11720937_a_at,LOC51067,YARS2,YARS2_11720937_a_at
11720938_a_at,LOC10245,TIMM17B,TIMM17B_11720938_a_at
11720939_a_at,LOC79039,DDX54,DDX54_11720939_a_at
11720940_at,LOC79039,DDX54,DDX54_11720940_at
11720941_at,LOC79039,DDX54,DDX54_11720941_at
11720942_x_at,LOC79039,DDX54,DDX54_11720942_x_at
11720943_a_at,LOC6004,RGS16,RGS16_11720943_a_at
11720944_at,LOC6004,RGS16,RGS16_11720944_at
11720945_x_at,LOC6627,SNRPA1,SNRPA1_11720945_x_at
11720946_at,LOC771,CA12,CA12_11720946_at
11720947_x_at,LOC771,CA12,CA12_11720947_x_at
11720948_a_at,LOC771,CA12,CA12_11720948_a_at
11720949_x_at,LOC5203,PFDN4,PFDN4_11720949_x_at
11720950_at,LOC5203,PFDN4,PFDN4_11720950_at
11720951_a_at,LOC23142,DCUN1D4,DCUN1D4_11720951_a_at
11720952_a_at,LOC23142,DCUN1D4,DCUN1D4_11720952_a_at
11720953_x_at,LOC9141,PDCD5,PDCD5_11720953_x_at
11720954_s_at,LOC6156,RPL30,RPL30_11720954_s_at
11720955_x_at,LOC57703,CWC22,CWC22_11720955_x_at
11720956_a_at,LOC9641,IKBKE,IKBKE_11720956_a_at
11720957_a_at,LOC9641,IKBKE,IKBKE_11720957_a_at
11720958_a_at,LOC112483,SAT2,SAT2_11720958_a_at
11720959_a_at,LOC23,ABCF1,ABCF1_11720959_a_at
11720960_a_at,LOC51594,NBAS,NBAS_11720960_a_at
11720961_s_at,LOC51594,NBAS,NBAS_11720961_s_at
11720962_x_at,LOC1388,ATF6B,ATF6B_11720962_x_at
11720963_a_at,LOC1633,DCK,DCK_11720963_a_at
11720964_s_at,LOC1633,DCK,DCK_11720964_s_at
11720965_at,LOC1633,DCK,DCK_11720965_at
11720966_x_at,LOC1633,DCK,DCK_11720966_x_at
11720967_a_at,LOC29899,GPSM2,GPSM2_11720967_a_at
11720968_a_at,LOC2618,GART,GART_11720968_a_at
11720969_a_at,LOC2618,GART,GART_11720969_a_at
11720970_at,LOC7153,TOP2A,TOP2A_11720970_at
11720971_at,LOC7153,TOP2A,TOP2A_11720971_at
11720972_at,LOC7153,TOP2A,TOP2A_11720972_at
11720973_x_at,LOC140461,ASB8,ASB8_11720973_x_at
11720974_at,LOC140461,ASB8,ASB8_11720974_at
11720975_a_at,LOC147179,WIPF2,WIPF2_11720975_a_at
11720976_at,LOC147179,WIPF2,WIPF2_11720976_at
11720977_a_at,LOC10352,WARS2,WARS2_11720977_a_at
11720978_at,LOC10352,WARS2,WARS2_11720978_at
11720979_a_at,LOC221120,ALKBH3,ALKBH3_11720979_a_at
11720980_a_at,LOC2185,PTK2B,PTK2B_11720980_a_at
11720981_a_at,LOC2185,PTK2B,PTK2B_11720981_a_at
11720982_s_at,LOC2185,PTK2B,PTK2B_11720982_s_at
11720983_s_at,LOC5706,PSMC6,PSMC6_11720983_s_at
11720984_at,LOC23467,NPTXR,NPTXR_11720984_at
11720985_at,LOC79693,YRDC,YRDC_11720985_at
11720986_at,LOC79693,YRDC,YRDC_11720986_at
11720987_at,LOC26984,SEC22A,SEC22A_11720987_at
11720988_at,LOC26984,SEC22A,SEC22A_11720988_at
11720989_a_at,LOC9056,SLC7A7,SLC7A7_11720989_a_at
11720990_a_at,LOC112950,MED8,MED8_11720990_a_at
11720991_s_at,LOC6657,SOX2,SOX2_11720991_s_at
11720992_a_at,LOC6657,SOX2,SOX2_11720992_a_at
11720993_at,LOC6657,SOX2,SOX2_11720993_at
11720994_x_at,LOC6348,CCL3,CCL3_11720994_x_at
11720995_at,LOC108,ADCY2,ADCY2_11720995_at
11720996_at,LOC108,ADCY2,ADCY2_11720996_at
11720997_a_at,LOC108,ADCY2,ADCY2_11720997_a_at
11720998_a_at,LOC51411,BIN2,BIN2_11720998_a_at
11720999_a_at,LOC51411,BIN2,BIN2_11720999_a_at
11721000_at,LOC10614,HEXIM1,HEXIM1_11721000_at
11721001_at,LOC10614,HEXIM1,HEXIM1_11721001_at
11721002_s_at,LOC10614,HEXIM1,HEXIM1_11721002_s_at
11721003_at,LOC10614,HEXIM1,HEXIM1_11721003_at
11721004_x_at,LOC10614,HEXIM1,HEXIM1_11721004_x_at
11721005_a_at,LOC55002,TMCO3,TMCO3_11721005_a_at
11721006_s_at,LOC55002,TMCO3,TMCO3_11721006_s_at
11721007_a_at,LOC5469,MED1,MED1_11721007_a_at
11721008_a_at,LOC5469,MED1,MED1_11721008_a_at
11721009_at,LOC5469,MED1,MED1_11721009_at
11721010_a_at,LOC81544,GDPD5,GDPD5_11721010_a_at
11721011_at,LOC64093,SMOC1,SMOC1_11721011_at
11721012_at,LOC64093,SMOC1,SMOC1_11721012_at
11721013_a_at,LOC9589,WTAP,WTAP_11721013_a_at
11721014_s_at,LOC9589,WTAP,WTAP_11721014_s_at
11721015_s_at,LOC9589,WTAP,WTAP_11721015_s_at
11721016_a_at,LOC8078,USP5,USP5_11721016_a_at
11721017_at,LOC57666,FBRSL1,FBRSL1_11721017_at
11721018_at,LOC57666,FBRSL1,FBRSL1_11721018_at
11721019_a_at,LOC8897,MTMR3,MTMR3_11721019_a_at
11721020_a_at,LOC8897,MTMR3,MTMR3_11721020_a_at
11721021_a_at,LOC8897,MTMR3,MTMR3_11721021_a_at
11721022_a_at,LOC11083,DIDO1,DIDO1_11721022_a_at
11721023_a_at,LOC11083,DIDO1,DIDO1_11721023_a_at
11721024_a_at,LOC3590,IL11RA,IL11RA_11721024_a_at
11721025_a_at,LOC79090,TRAPPC6A,TRAPPC6A_11721025_a_at
11721026_a_at,LOC79629,OCEL1,OCEL1_11721026_a_at
11721027_a_at,LOC2580,GAK,GAK_11721027_a_at
11721028_at,LOC23417,MLYCD,MLYCD_11721028_at
11721029_a_at,LOC8395,PIP5K1B,PIP5K1B_11721029_a_at
11721030_a_at,LOC8395,PIP5K1B,PIP5K1B_11721030_a_at
11721031_a_at,LOC6450,SH3BGR,SH3BGR_11721031_a_at
11721032_s_at,LOC11170,FAM107A,FAM107A_11721032_s_at
11721033_a_at,LOC11170,FAM107A,FAM107A_11721033_a_at
11721034_at,LOC79660,PPP1R3B,PPP1R3B_11721034_at
11721035_x_at,LOC79660,PPP1R3B,PPP1R3B_11721035_x_at
11721036_at,LOC51684,SUFU,SUFU_11721036_at
11721037_a_at,LOC51684,SUFU,SUFU_11721037_a_at
11721038_at,LOC51684,SUFU,SUFU_11721038_at
11721039_a_at,LOC6650,CAPN15,CAPN15_11721039_a_at
11721040_a_at,LOC60684,TRAPPC11,TRAPPC11_11721040_a_at
11721041_a_at,LOC60684,TRAPPC11,TRAPPC11_11721041_a_at
11721042_at,LOC286053,NSMCE2,NSMCE2_11721042_at
11721043_at,LOC90459,ERI1,ERI1_11721043_at
11721044_a_at,LOC90459,ERI1,ERI1_11721044_a_at
11721045_x_at,LOC25972,UNC50,UNC50_11721045_x_at
11721046_a_at,LOC347735,SERINC2,SERINC2_11721046_a_at
11721047_at,LOC23176,8-Sep,8-Sep_11721047_at
11721048_s_at,LOC221143,N6AMT2,N6AMT2_11721048_s_at
11721049_at,LOC10344,CCL26,CCL26_11721049_at
11721050_a_at,LOC85378,TUBGCP6,TUBGCP6_11721050_a_at
11721051_at,LOC285636,C5ORF51,C5ORF51_11721051_at
11721052_at,LOC57542,KLHL42,KLHL42_11721052_at
11721053_s_at,LOC57542,KLHL42,KLHL42_11721053_s_at
11721054_at,LOC57542,KLHL42,KLHL42_11721054_at
11721055_x_at,LOC5613,PRKX,PRKX_11721055_x_at
11721056_x_at,LOC5613,PRKX,PRKX_11721056_x_at
11721057_a_at,LOC55129,ANO10,ANO10_11721057_a_at
11721058_a_at,LOC7743,ZNF189,ZNF189_11721058_a_at
11721059_a_at,LOC7743,ZNF189,ZNF189_11721059_a_at
11721060_a_at,LOC84513,PPAPDC1B,PPAPDC1B_11721060_a_at
11721061_a_at,LOC10788,IQGAP2,IQGAP2_11721061_a_at
11721062_s_at,LOC10564,ARFGEF2,ARFGEF2_11721062_s_at
11721063_a_at,LOC10564,ARFGEF2,ARFGEF2_11721063_a_at
11721064_a_at,LOC26610,ELP4,ELP4_11721064_a_at
11721065_at,LOC115,ADCY9,ADCY9_11721065_at
11721066_at,LOC115,ADCY9,ADCY9_11721066_at
11721067_s_at,LOC23295,MGRN1,MGRN1_11721067_s_at
11721068_a_at,LOC80206,FHOD3,FHOD3_11721068_a_at
11721069_a_at,LOC8527,DGKD,DGKD_11721069_a_at
11721070_a_at,LOC54849,DEF8,DEF8_11721070_a_at
11721071_s_at,LOC54849,DEF8,DEF8_11721071_s_at
11721072_a_at,LOC10291,SF3A1,SF3A1_11721072_a_at
11721073_a_at,LOC10291,SF3A1,SF3A1_11721073_a_at
11721074_a_at,LOC81887,LAS1L,LAS1L_11721074_a_at
11721075_a_at,LOC23788,MTCH2,MTCH2_11721075_a_at
11721076_at,LOC23788,MTCH2,MTCH2_11721076_at
11721077_a_at,LOC2098,ESD,ESD_11721077_a_at
11721078_s_at,LOC25957,PNISR,PNISR_11721078_s_at
11721079_a_at,LOC25957,PNISR,PNISR_11721079_a_at
11721080_at,LOC55742,PARVA,PARVA_11721080_at
11721081_at,LOC55742,PARVA,PARVA_11721081_at
11721082_at,LOC55017,C14ORF119,C14ORF119_11721082_at
11721083_x_at,LOC55017,C14ORF119,C14ORF119_11721083_x_at
11721084_a_at,LOC4591,TRIM37,TRIM37_11721084_a_at
11721085_a_at,LOC4591,TRIM37,TRIM37_11721085_a_at
11721086_a_at,LOC56252,YLPM1,YLPM1_11721086_a_at
11721087_x_at,LOC56252,YLPM1,YLPM1_11721087_x_at
11721088_a_at,LOC56252,YLPM1,YLPM1_11721088_a_at
11721089_a_at,LOC56252,YLPM1,YLPM1_11721089_a_at
11721090_at,LOC7057,THBS1,THBS1_11721090_at
11721091_a_at,LOC7057,THBS1,THBS1_11721091_a_at
11721092_a_at,LOC7057,THBS1,THBS1_11721092_a_at
11721093_a_at,LOC7057,THBS1,THBS1_11721093_a_at
11721094_a_at,LOC7922,SLC39A7,SLC39A7_11721094_a_at
11721095_x_at,LOC7922,SLC39A7,SLC39A7_11721095_x_at
11721096_a_at,LOC81542,TMX1,TMX1_11721096_a_at
11721097_at,LOC81542,TMX1,TMX1_11721097_at
11721098_x_at,LOC81542,TMX1,TMX1_11721098_x_at
11721099_at,LOC719,C3AR1,C3AR1_11721099_at
11721100_a_at,LOC6448,SGSH,SGSH_11721100_a_at
11721101_x_at,LOC6448,SGSH,SGSH_11721101_x_at
11721102_a_at,LOC6448,SGSH,SGSH_11721102_a_at
11721103_a_at,LOC84271,POLDIP3,POLDIP3_11721103_a_at
11721104_x_at,LOC84271,POLDIP3,POLDIP3_11721104_x_at
11721105_s_at,LOC22930,RAB3GAP1,RAB3GAP1_11721105_s_at
11721106_a_at,LOC22930,RAB3GAP1,RAB3GAP1_11721106_a_at
11721107_a_at,LOC80305,TRABD,TRABD_11721107_a_at
11721108_at,LOC199692,ZNF627,ZNF627_11721108_at
11721109_a_at,LOC4675,NAP1L3,NAP1L3_11721109_a_at
11721110_s_at,LOC4675,NAP1L3,NAP1L3_11721110_s_at
11721111_a_at,LOC55856,ACOT13,ACOT13_11721111_a_at
11721112_a_at,LOC51205,ACP6,ACP6_11721112_a_at
11721113_x_at,LOC6171,RPL41,RPL41_11721113_x_at
11721114_a_at,LOC51071,DERA,DERA_11721114_a_at
11721115_at,LOC60559,SPCS3,SPCS3_11721115_at
11721116_x_at,LOC60559,SPCS3,SPCS3_11721116_x_at
11721117_at,LOC60559,SPCS3,SPCS3_11721117_at
11721118_a_at,,ANKHD1-EIF4EBP3 || EIF4EBP3,ANKHD1-EIF4EBP3 || EIF4EBP3_11721118_a_at
11721119_a_at,,ANKHD1-EIF4EBP3 || ANKHD1,ANKHD1-EIF4EBP3 || ANKHD1_11721119_a_at
11721120_a_at,LOC11164,NUDT5,NUDT5_11721120_a_at
11721121_a_at,LOC83985,SPNS1,SPNS1_11721121_a_at
11721122_x_at,LOC83985,SPNS1,SPNS1_11721122_x_at
11721123_a_at,LOC4320,MMP11,MMP11_11721123_a_at
11721124_s_at,LOC4320,MMP11,MMP11_11721124_s_at
11721125_at,LOC84888,SPPL2A,SPPL2A_11721125_at
11721126_a_at,LOC2028,ENPEP,ENPEP_11721126_a_at
11721127_at,LOC2028,ENPEP,ENPEP_11721127_at
11721128_a_at,LOC27000,DNAJC2,DNAJC2_11721128_a_at
