ProbeSet,LocusLink,Symbol,GeneID
11715184_x_at,LOC6169,RPL38,RPL38_11715184_x_at
11715185_x_at,LOC5542,PRB1,PRB1_11715185_x_at
11715186_x_at,LOC5542,PRB1,PRB1_11715186_x_at
11715187_x_at,LOC5542,PRB1,PRB1_11715187_x_at
11715188_at,LOC440093,H3F3C,H3F3C_11715188_at
11715189_s_at,,H3F3B || H3F3C,H3F3B || H3F3C_11715189_s_at
11715190_s_at,LOC340277,FAM221A,FAM221A_11715190_s_at
11715191_s_at,LOC340277,FAM221A,FAM221A_11715191_s_at
11715192_s_at,LOC340277,FAM221A,FAM221A_11715192_s_at
11715193_s_at,LOC340260,UNCX,UNCX_11715193_s_at
11715194_s_at,LOC90485,ZNF835,ZNF835_11715194_s_at
11715195_at,LOC55364,IMPACT,IMPACT_11715195_at
11715196_s_at,LOC255349,TMEM211,TMEM211_11715196_s_at
11715197_s_at,LOC26108,PYGO1,PYGO1_11715197_s_at
11715198_s_at,,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2_11715198_s_at
11715199_s_at,,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2_11715199_s_at
11715200_s_at,,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2_11715200_s_at
